[Aim] acquire | track locked
[Visual] aim step 42/200 | phase=center | uv=(-0.058,-0.219) | target=(+0.400,+0.000) | delta=(-0.058,-0.219) | scale=0.037 | droll=-0.49 | ds1=-1.84 | ds2=+0.92 | req_roll=-0.49 | req_seg=+1.84 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=105x105
[Visual] aim step 43/200 | phase=center | uv=(-0.053,-0.219) | target=(+0.400,+0.000) | delta=(-0.053,-0.219) | scale=0.037 | droll=-0.45 | ds1=-1.84 | ds2=+0.92 | req_roll=-0.45 | req_seg=+1.84 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=106x105
[Visual] aim step 44/200 | phase=center | uv=(-0.050,-0.219) | target=(+0.400,+0.000) | delta=(-0.050,-0.219) | scale=0.037 | droll=-0.42 | ds1=-1.84 | ds2=+0.92 | req_roll=-0.42 | req_seg=+1.84 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=106x105
[Visual] aim step 45/200 | phase=center | uv=(-0.047,-0.217) | target=(+0.400,+0.000) | delta=(-0.047,-0.217) | scale=0.037 | droll=-0.39 | ds1=-1.82 | ds2=+0.91 | req_roll=-0.39 | req_seg=+1.82 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=106x106
[Aim] center_stuck | reset uv jacobian (1/2) | delta=(-0.045,-0.219)
[Visual] aim step 47/200 | phase=center | uv=(-0.045,-0.219) | target=(+0.400,+0.000) | delta=(-0.045,-0.219) | scale=0.038 | droll=-0.38 | ds1=-1.84 | ds2=+0.92 | req_roll=-0.38 | req_seg=+1.84 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=107x107
[Visual] aim step 48/200 | phase=center | uv=(-0.045,-0.219) | target=(+0.400,+0.000) | delta=(-0.045,-0.219) | scale=0.038 | droll=-0.38 | ds1=-1.84 | ds2=+0.92 | req_roll=-0.38 | req_seg=+1.84 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=107x107
[Visual] aim step 49/200 | phase=center | uv=(-0.045,-0.219) | target=(+0.400,+0.000) | delta=(-0.045,-0.219) | scale=0.038 | droll=-0.38 | ds1=-1.84 | ds2=+0.92 | req_roll=-0.38 | req_seg=+1.84 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=107x107
[Visual] aim step 50/200 | phase=center | uv=(-0.042,-0.221) | target=(+0.400,+0.000) | delta=(-0.042,-0.221) | scale=0.038 | droll=-0.35 | ds1=-1.86 | ds2=+0.93 | req_roll=-0.35 | req_seg=+1.85 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=107x108
[Visual] aim step 51/200 | phase=center | uv=(-0.036,-0.223) | target=(+0.400,+0.000) | delta=(-0.036,-0.223) | scale=0.038 | droll=-0.30 | ds1=-1.87 | ds2=+0.94 | req_roll=-0.30 | req_seg=+1.87 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=107x107
[Visual] aim step 52/200 | phase=center | uv=(-0.033,-0.223) | target=(+0.400,+0.000) | delta=(-0.033,-0.223) | scale=0.038 | droll=-0.28 | ds1=-1.87 | ds2=+0.94 | req_roll=-0.28 | req_seg=+1.87 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=107x107
[Visual] aim step 53/200 | phase=center | uv=(-0.031,-0.223) | target=(+0.400,+0.000) | delta=(-0.031,-0.223) | scale=0.038 | droll=-0.26 | ds1=-1.87 | ds2=+0.94 | req_roll=-0.26 | req_seg=+1.87 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=106x107
[Visual] aim step 54/200 | phase=center | uv=(-0.031,-0.223) | target=(+0.400,+0.000) | delta=(-0.031,-0.223) | scale=0.038 | droll=-0.26 | ds1=-1.87 | ds2=+0.94 | req_roll=-0.26 | req_seg=+1.87 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=106x107
[Visual] aim step 55/200 | phase=center | uv=(-0.030,-0.221) | target=(+0.400,+0.000) | delta=(-0.030,-0.221) | scale=0.038 | droll=-0.25 | ds1=-1.86 | ds2=+0.93 | req_roll=-0.25 | req_seg=+1.85 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=107x108
[Visual] aim step 56/200 | phase=center | uv=(-0.030,-0.221) | target=(+0.400,+0.000) | delta=(-0.030,-0.221) | scale=0.038 | droll=-0.25 | ds1=-1.86 | ds2=+0.93 | req_roll=-0.25 | req_seg=+1.85 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=107x108
[Visual] aim step 57/200 | phase=center | uv=(-0.030,-0.221) | target=(+0.400,+0.000) | delta=(-0.030,-0.221) | scale=0.038 | droll=-0.25 | ds1=-1.86 | ds2=+0.93 | req_roll=-0.25 | req_seg=+1.85 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=107x108
[Visual] aim step 58/200 | phase=center | uv=(-0.030,-0.221) | target=(+0.400,+0.000) | delta=(-0.030,-0.221) | scale=0.038 | droll=-0.25 | ds1=-1.86 | ds2=+0.93 | req_roll=-0.25 | req_seg=+1.85 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=107x108
[Visual] aim step 59/200 | phase=center | uv=(-0.027,-0.221) | target=(+0.400,+0.000) | delta=(-0.027,-0.221) | scale=0.038 | droll=-0.22 | ds1=-1.86 | ds2=+0.93 | req_roll=-0.22 | req_seg=+1.85 | mode=gain_fallback | j_updates=0 | tracker=track | bbox=107x108
